n,errors,bag_auc,bag_ap,bag_f1,global_token_auc,global_top10_precision,global_top10_recall,global_error_coverage,local_auc,local_ap,top10_precision,top10_recall,error_coverage,fact_auc,fact_top1,fact_chance,n_local_mixed,n_fact_mixed,alert_threshold,validation_clean_answer_alarm,test_clean_answer_alarm,test_error_answer_recall,alert_token_precision,alert_error_token_recall,name,method,seed,val_auc,supervision,layer_index,threshold
89,25,0.455625,0.27888498080608537,0.42857142857142855,0.5700974457841094,0.04032258064516129,0.12406947890818859,0.0325,0.5844250186486621,0.21452156302436953,0.16140814919847177,0.13900779962991067,0.13202113975621352,,,,25,0,0.9615430612805583,0.025,0.046875,0.0,0.0,0.0,few_local_10_43,few_local_10,43,0.404,local labels for 24/240 training responses; validation uses bag labels only,0,0.2864818729647248
89,25,0.530625,0.350369771221415,0.44,0.506409894450453,0.03951612903225806,0.12158808933002481,0.0325,0.5388711130540925,0.2217122714600919,0.16695421245421244,0.17941784911434994,0.13202113975621352,,,,25,0,0.9989326346397096,0.025,0.015625,0.0,0.0,0.0,few_local_10_44,few_local_10,44,0.476,local labels for 24/240 training responses; validation uses bag labels only,0,0.3002125034672367
89,25,0.545625,0.35790491261705104,0.36363636363636365,0.6281175339326974,0.07580645161290323,0.23325062034739455,0.0325,0.6038403557648173,0.25172438931862645,0.22945188861317894,0.15365557006732755,0.13202113975621352,,,,25,0,0.9998301759500465,0.025,0.015625,0.0,0.0,0.0,few_local_25_42,few_local_25,42,0.6960000000000001,local labels for 60/240 training responses; validation uses bag labels only,0,0.5897677047459337
89,25,0.5225,0.3369780581769222,0.39436619718309857,0.5964123371620408,0.05,0.15384615384615385,0.0325,0.5891875011983904,0.20863442790520734,0.1780113238016464,0.14546996276257562,0.13202113975621352,,,,25,0,0.999996322483638,0.025,0.0625,0.0,0.0,0.0,few_local_25_43,few_local_25,43,0.6880000000000001,local labels for 60/240 training responses; validation uses bag labels only,0,0.4383350820413888
89,25,0.5437500000000001,0.41016485265357,0.42592592592592593,0.5544551977531189,0.049193548387096775,0.1513647642679901,0.0325,0.5760001044275365,0.2105606270487272,0.16886147544212057,0.15907732885109943,0.13202113975621352,,,,25,0,0.984576846955606,0.025,0.0625,0.08,0.2222222222222222,0.004962779156327543,few_local_25_44,few_local_25,44,0.516,local labels for 60/240 training responses; validation uses bag labels only,0,0.4413801047416584
89,25,0.5737500000000001,0.36955309577209056,0.4423076923076923,0.6303434833067242,0.0717741935483871,0.22084367245657568,0.0325,0.6304193428153645,0.2714827555270677,0.23019858994052542,0.21744619690515002,0.13202113975621352,,,,25,0,0.9934746272278678,0.025,0.0625,0.16,0.21428571428571427,0.007444168734491315,few_local_50_42,few_local_50,42,0.459,local labels for 120/240 training responses; validation uses bag labels only,0,0.6002002289045879
89,25,0.54625,0.3590774741989903,0.42424242424242425,0.6509543018508969,0.07096774193548387,0.21836228287841192,0.0325,0.6528931325156577,0.2839807041546305,0.26024742998936545,0.22819353462514957,0.13202113975621352,,,,25,0,0.9923933675446083,0.025,0.0625,0.12,0.14285714285714285,0.004962779156327543,few_local_50_43,few_local_50,43,0.58,local labels for 120/240 training responses; validation uses bag labels only,0,0.5935300719031618
89,25,0.589375,0.3600425689210859,0.4155844155844156,0.6138176396870103,0.06370967741935483,0.19602977667493796,0.0325,0.6112602196485034,0.24035373800442245,0.20719215014376308,0.17957784994423343,0.13202113975621352,,,,25,0,0.996977509724289,0.025,0.046875,0.0,0.0,0.0,few_local_50_44,few_local_50,44,0.6300000000000001,local labels for 120/240 training responses; validation uses bag labels only,0,0.7170921278582746
89,25,0.53875,0.3702406973049009,0.43636363636363634,0.5330085623142758,0.036290322580645164,0.11166253101736973,0.0325,0.5298905474155512,0.19636205410292526,0.1676246602859506,0.1235094211817734,0.13202113975621352,,,,25,0,0.9999936970400805,0.025,0.03125,0.08,0.0,0.0,last_linear,last_linear,,0.519,bag labels only,1,0.0017741747923481202
89,25,0.4703125,0.30184783707781465,0.43859649122807015,,,,,,,,,,,,,,,,,,,,,length,length,,0.523,bag labels only,,0.4666862856519844
