n,errors,bag_auc,bag_ap,bag_f1,global_token_auc,global_top10_precision,global_top10_recall,global_error_coverage,local_auc,local_ap,top10_precision,top10_recall,error_coverage,fact_auc,fact_top1,fact_chance,n_local_mixed,n_fact_mixed,alert_threshold,validation_clean_answer_alarm,test_clean_answer_alarm,test_error_answer_recall,alert_token_precision,alert_error_token_recall,name,method,seed,val_auc,supervision,layer_index,threshold
89,25,0.55875,0.4081964801327012,0.39080459770114945,0.5196067420494495,0.029838709677419355,0.09181141439205956,0.0325,0.5517427493211298,0.18840866021910976,0.15081779510811769,0.11872766758285515,0.13202113975621352,,,,25,0,0.9999337196350098,0.025,0.03125,0.0,0.0,0.0,after_42,after,42,0.575,bag labels only,2,0.4455673098564148
89,25,0.5456250000000001,0.42952341656183035,0.4375,0.5414507059353755,0.03467741935483871,0.10669975186104218,0.0325,0.5698785986630566,0.20885549852992852,0.1867525306234984,0.15027380937875576,0.13202113975621352,,,,25,0,0.9998084902763367,0.025,0.09375,0.12,0.0,0.0,after_43,after,43,0.684,bag labels only,2,0.5880005359649658
89,25,0.57375,0.4395382681863325,0.41379310344827586,0.5582529834278256,0.03951612903225806,0.12158808933002481,0.0325,0.5760714624906135,0.20310801061142233,0.17971495529560044,0.14429260027658042,0.13202113975621352,,,,25,0,0.9995322227478027,0.025,0.03125,0.16,0.0,0.0,after_44,after,44,0.628,bag labels only,1,0.325591117143631
89,25,0.5750000000000001,0.43960112483121666,0.4583333333333333,0.5360486109947669,0.03790322580645161,0.11662531017369727,0.0325,0.5235580591023041,0.18405384458700272,0.13903235653235652,0.11439289592256689,0.13202113975621352,,,,25,0,0.9994556307792664,0.025,0.015625,0.08,0.0,0.0,before_42,before,42,0.5980000000000001,bag labels only,1,0.2232777178287506
89,25,0.583125,0.38173944414331196,0.4367816091954023,0.6000590304730856,0.05806451612903226,0.17866004962779156,0.0325,0.5972468763674993,0.22794956982359096,0.18383583441647958,0.14217632989485535,0.13202113975621352,,,,25,0,0.9953609108924866,0.025,0.03125,0.04,0.4,0.004962779156327543,before_43,before,43,0.6799999999999999,bag labels only,1,0.35836389660835266
89,25,0.541875,0.3955869859158649,0.3835616438356164,0.5106707818393804,0.025,0.07692307692307693,0.0325,0.5480315633311451,0.18167897564349056,0.14230958289022805,0.09993207505528766,0.13202113975621352,,,,25,0,0.9999724626541138,0.025,0.015625,0.0,0.0,0.0,before_44,before,44,0.652,bag labels only,2,0.4776614308357239
89,25,0.5918749999999999,0.4590990124369671,0.4307692307692308,0.6396001399026349,0.07419354838709677,0.228287841191067,0.0325,0.6675124260126016,0.2721411147323488,0.2363053684666588,0.2056417020639859,0.13202113975621352,,,,25,0,0.9844773944734911,0.025,0.03125,0.2,0.2,0.004962779156327543,few_local_100_42,few_local_100,42,0.64,local labels for 240/240 training responses; validation uses bag labels only,0,0.8209149625193787
89,25,0.5918749999999999,0.4590990124369671,0.4307692307692308,0.639600139902635,0.07419354838709677,0.228287841191067,0.0325,0.6675124260126016,0.2721411147323488,0.2363053684666588,0.2056417020639859,0.13202113975621352,,,,25,0,0.9844774024031223,0.025,0.03125,0.2,0.2,0.004962779156327543,few_local_100_43,few_local_100,43,0.64,local labels for 240/240 training responses; validation uses bag labels only,0,0.8209153078166694
89,25,0.5918749999999999,0.4590990124369671,0.4307692307692308,0.6395999330684614,0.07419354838709677,0.228287841191067,0.0325,0.6675124260126016,0.2721411147323488,0.2363053684666588,0.2056417020639859,0.13202113975621352,,,,25,0,0.984477293255611,0.025,0.03125,0.2,0.2,0.004962779156327543,few_local_100_44,few_local_100,44,0.64,local labels for 240/240 training responses; validation uses bag labels only,0,0.820915024911308
89,25,0.539375,0.31687901695082143,0.45,0.516713752466239,0.041935483870967745,0.12903225806451613,0.0325,0.56821879395092,0.2081157077820208,0.17603458190554963,0.13924449553134843,0.13202113975621352,,,,25,0,0.9103405387120096,0.025,0.109375,0.08,0.0,0.0,few_local_10_42,few_local_10,42,0.654,local labels for 24/240 training responses; validation uses bag labels only,0,0.5696692827079579
