n,errors,bag_auc,bag_ap,bag_f1,global_token_auc,global_top10_precision,global_top10_recall,global_error_coverage,local_auc,local_ap,top10_precision,top10_recall,error_coverage,fact_auc,fact_top1,fact_chance,n_local_mixed,n_fact_mixed,alert_threshold,validation_clean_answer_alarm,test_clean_answer_alarm,test_error_answer_recall,alert_token_precision,alert_error_token_recall,name,method,seed,val_auc,supervision,layer_index,threshold
105,14,0.7574568288854003,0.2789101295979621,0.36619718309859156,0.7708689148282076,0.20967741935483872,0.3561643835616438,0.05906148867313916,0.700909606266749,0.7508551791489307,0.6428571428571429,0.27873222016079163,0.43841319136350193,0.7142857142857143,0.6428571428571429,0.40476190476190477,14,14,0.9690207242965698,0.043478260869565216,0.07692307692307693,0.14285714285714285,0.3076923076923077,0.0547945205479452,after_42,after,42,0.8358695652173913,bag labels only,2,0.40604907274246216
105,14,0.6813186813186813,0.2231681540334437,0.3384615384615385,0.7320698712587899,0.1532258064516129,0.2602739726027397,0.05906148867313916,0.6347364804507661,0.6584705505775733,0.47619047619047616,0.18420841063698207,0.43841319136350193,0.7857142857142857,0.7142857142857143,0.40476190476190477,14,14,0.9952308535575867,0.043478260869565216,0.08791208791208792,0.07142857142857142,0.0,0.0,after_43,after,43,0.7815217391304348,bag labels only,3,0.6535861492156982
105,14,0.6444270015698588,0.2107462709335555,0.3076923076923077,0.7872766463680372,0.2661290322580645,0.4520547945205479,0.05906148867313916,0.6554851233422662,0.7329615018390528,0.7142857142857143,0.2965893630179344,0.43841319136350193,0.6785714285714286,0.6428571428571429,0.40476190476190477,14,14,0.7440863847732544,0.043478260869565216,0.0989010989010989,0.14285714285714285,0.40625,0.1780821917808219,after_44,after,44,0.8608695652173912,bag labels only,2,0.32886791229248047
105,14,0.6467817896389325,0.3295784838682899,0.26666666666666666,0.7236480995064725,0.20967741935483872,0.3561643835616438,0.05906148867313916,0.6129913076341647,0.681920975907001,0.6071428571428571,0.24658936301793447,0.43841319136350193,0.75,0.7142857142857143,0.40476190476190477,14,14,0.9816880822181702,0.043478260869565216,0.07692307692307693,0.2857142857142857,0.21428571428571427,0.0410958904109589,before_42,before,42,0.7804347826086956,bag labels only,3,0.647671103477478
105,14,0.631083202511774,0.19626355640638027,0.3125,0.7613046090059954,0.1774193548387097,0.3013698630136986,0.05906148867313916,0.6295633202776061,0.6590042687157488,0.5,0.13587507730364873,0.43841319136350193,0.6428571428571429,0.5,0.40476190476190477,14,14,0.9270009994506836,0.043478260869565216,0.10989010989010989,0.14285714285714285,0.19047619047619047,0.0547945205479452,before_43,before,43,0.7771739130434783,bag labels only,2,0.8060570359230042
105,14,0.7684458398744114,0.3967498743370893,0.36,0.7151909916489005,0.16129032258064516,0.273972602739726,0.05906148867313916,0.5933457019171305,0.6820921038021626,0.5476190476190476,0.2579529993815708,0.43841319136350193,0.6071428571428571,0.5,0.40476190476190477,14,14,0.9526343941688538,0.043478260869565216,0.13186813186813187,0.5,0.21739130434782608,0.0684931506849315,before_44,before,44,0.775,bag labels only,3,0.7737036943435669
105,14,0.6915227629513343,0.3321536282975953,0.3116883116883117,0.7867230473857172,0.11290322580645161,0.1917808219178082,0.05906148867313916,0.7666666666666667,0.8449248120300752,0.7142857142857143,0.3485374149659864,0.43841319136350193,0.7857142857142857,0.7142857142857143,0.40476190476190477,14,14,0.9920884370803833,0.043478260869565216,0.02197802197802198,0.14285714285714285,0.75,0.1232876712328767,fact_after_42,fact_after,42,0.7847826086956522,bag labels only,2,0.2735968828201294
105,14,0.7590266875981162,0.3213835911748213,0.3508771929824561,0.8572539134736569,0.3387096774193548,0.5753424657534246,0.05906148867313916,0.734920634920635,0.83625134264232,0.6428571428571429,0.3383333333333333,0.43841319136350193,0.75,0.6428571428571429,0.40476190476190477,14,14,0.8049953579902649,0.043478260869565216,0.07692307692307693,0.42857142857142855,0.4444444444444444,0.3835616438356164,fact_after_43,fact_after,43,0.7717391304347826,bag labels only,2,0.24663987755775452
105,14,0.7558869701726845,0.3255453654636593,0.3793103448275862,0.8249213771658088,0.27419354838709675,0.4657534246575342,0.05906148867313916,0.7380952380952381,0.8449248120300752,0.7142857142857143,0.3485374149659864,0.43841319136350193,0.75,0.7142857142857143,0.40476190476190477,14,14,0.9635448455810547,0.043478260869565216,0.0989010989010989,0.35714285714285715,0.28846153846153844,0.2054794520547945,fact_after_44,fact_after,44,0.8141304347826087,bag labels only,2,0.4994135797023773
105,14,0.6821036106750393,0.28225490667983366,0.3076923076923077,0.782682952684955,0.29838709677419356,0.5068493150684932,0.05906148867313916,0.761904761904762,0.8333333333333333,0.7142857142857143,0.3025417439703154,0.43841319136350193,0.75,0.7142857142857143,0.40476190476190477,14,14,0.7535529136657715,0.043478260869565216,0.14285714285714285,0.21428571428571427,0.3516483516483517,0.4383561643835616,fact_support_lookback_42,fact_support_lookback,42,0.8369565217391304,bag labels only,0,0.10655435174703598
